01/09/15,Brooklyn,45.0, Manhattan,15.0, Westchester,25.0, Bronx,30.0
02/09/15,Manhattan,20.0, Westchester,16.666666666666668, Rockland County,20.0, Brooklyn,34.285714285714285, Queens,18.333333333333332, Nassau County,27.142857142857142
03/09/15,Nassau County,20.0, Rockland County,15.0, Manhattan,20.0, Bronx,22.5, Queens,20.0, Brooklyn,15.0, Westchester,22.5
04/09/15,Brooklyn,27.5, Rockland County,15.0, Westchester,23.333333333333332, Queens,20.0, Manhattan,15.0
08/09/15,Bronx,18.79310344827586, Nassau County,32.0, Staten Island,10.0, New Jersey,47.5, Rockland County,30.0, Westchester,14.714285714285714, Queens,22.5, Brooklyn,31.5, Manhattan,29.642857142857142
09/09/15,New Jersey,25.0, Brooklyn,29.94736842105263, Manhattan,23.97872340425532, Nassau County,27.5, Rockland County,27.5, Staten Island,23.984848484848484, Westchester,22.5, Queens,28.131147540983605, Bronx,22.74342105263158
10/09/15,Nassau County,27.857142857142858, Staten Island,19.09375, Bronx,21.89622641509434, Westchester,28.708333333333332, Rockland County,45.0, Manhattan,25.009345794392523, Queens,27.6, Brooklyn,31.14
11/09/15,Queens,28.019607843137255, Manhattan,24.376470588235293, New Jersey,20.0, Nassau County,25.0, Rockland County,15.0, Staten Island,15.1, Bronx,21.837209302325583, Brooklyn,26.506666666666668, Westchester,23.11764705882353
14/09/15,Westchester,25.0, Bronx,15.0, Brooklyn,30.0, Staten Island,7.5
15/09/15,Westchester,13.333333333333334, Bronx,14.11111111111111, Manhattan,15.0, Brooklyn,25.0
16/09/15,Brooklyn,29.516129032258064, Nassau County,40.42857142857143, Rockland County,10.0, Queens,33.642857142857146, Westchester,28.391304347826086, Bronx,18.39855072463768, New Jersey,20.0, Manhattan,24.038095238095238, Staten Island,22.82758620689655
17/09/15,Bronx,20.737864077669904, Brooklyn,30.756756756756758, Nassau County,52.875, All Boroughs,45.0, Rockland County,30.0, New Jersey,18.75, Queens,27.352941176470587, Staten Island,18.88888888888889, Manhattan,24.662790697674417, Westchester,27.22222222222222
18/09/15,Manhattan,31.296296296296298, Queens,31.355555555555554, Staten Island,16.703703703703702, Westchester,23.235294117647058, Brooklyn,35.59649122807018, New Jersey,20.0, Bronx,16.442307692307693, Nassau County,41.25
21/09/15,Queens,35.32258064516129, Brooklyn,31.5974025974026, Manhattan,24.941176470588236, Westchester,21.666666666666668, Rockland County,35.0, Nassau County,28.333333333333332, New Jersey,22.5, All Boroughs,30.0, Bronx,16.5, Staten Island,16.36111111111111
22/09/15,Rockland County,30.0, Manhattan,27.782608695652176, Queens,28.59259259259259, All Boroughs,30.0, Nassau County,32.666666666666664, Westchester,22.866666666666667, Bronx,17.83050847457627, Brooklyn,37.333333333333336, Staten Island,20.25
23/09/15,Manhattan,13.0, Brooklyn,45.0, Bronx,17.0, Westchester,20.0
24/09/15,Bronx,12.222222222222221, Nassau County,13.0, Westchester,42.75, Manhattan,17.5, All Boroughs,17.5, Brooklyn,37.5
25/09/15,Manhattan,24.242424242424242, Staten Island,30.833333333333332, All Boroughs,27.5, Queens,30.098039215686274, Brooklyn,31.0, New Jersey,45.0, Nassau County,27.5, Westchester,22.0, Bronx,17.8659793814433
28/09/15,Brooklyn,31.75, Bronx,18.8125, Manhattan,21.826923076923077, Westchester,21.53846153846154, Queens,30.272727272727273, Staten Island,17.4, All Boroughs,40.0, Nassau County,30.0
29/09/15,Brooklyn,32.333333333333336, Queens,28.642857142857142, Staten Island,16.956521739130434, Rockland County,33.285714285714285, All Boroughs,40.0, Manhattan,20.5, Bronx,17.465346534653467, Nassau County,26.666666666666668, Westchester,26.22222222222222
30/09/15,New Jersey,30.0, Manhattan,27.4468085106383, Staten Island,15.038461538461538, Rockland County,30.0, Queens,27.17241379310345, Bronx,19.452173913043477, Brooklyn,31.482142857142858, Westchester,21.956521739130434
