01/09/15, AM : 5:00-11:59,(Heavy Traffic=4, Other=3)
29/10/15, AM : 5:00-11:59,(Heavy Traffic=256, Other=59, Weather Conditions=23),PM : 12:00-19:00,(Heavy Traffic=18, Other=7, Late return from Field Trip=4)
30/10/15, AM : 5:00-11:59,(Heavy Traffic=148, Other=42, Mechanical Problem=11),PM : 12:00-19:00,(Heavy Traffic=22, Late return from Field Trip=6, Mechanical Problem=4)
02/11/15, AM : 5:00-11:59,(Heavy Traffic=152, Other=55, Mechanical Problem=15),PM : 12:00-19:00,(Heavy Traffic=13, Other=7, Delayed by School=3)
03/11/15, AM : 5:00-11:59,(Heavy Traffic=20, Other=14, Mechanical Problem=4),PM : 12:00-19:00,(Heavy Traffic=1)
04/11/15, AM : 5:00-11:59,(Heavy Traffic=174, Other=45, Mechanical Problem=15),PM : 12:00-19:00,(Heavy Traffic=13, Other=11, Late return from Field Trip=5)
05/11/15, AM : 5:00-11:59,(Heavy Traffic=205, Other=35, Mechanical Problem=15),PM : 12:00-19:00,(Heavy Traffic=14, Other=14, Mechanical Problem=4)
06/11/15, AM : 5:00-11:59,(Heavy Traffic=154, Other=41, Flat Tire=8),PM : 12:00-19:00,(Other=12, Late return from Field Trip=10, Heavy Traffic=8)
09/11/15, AM : 5:00-11:59,(Heavy Traffic=159, Other=44, Won`t Start=8),PM : 12:00-19:00,(Heavy Traffic=16, Other=15, Late return from Field Trip=9)
10/11/15, AM : 5:00-11:59,(Heavy Traffic=198, Other=62, Weather Conditions=11),PM : 12:00-19:00,(Heavy Traffic=19, Other=11, Weather Conditions=5)
12/11/15, AM : 5:00-11:59,(Heavy Traffic=197, Other=51, Mechanical Problem=18),PM : 12:00-19:00,(Other=13, Heavy Traffic=10, Late return from Field Trip=8)
13/11/15, AM : 5:00-11:59,(Heavy Traffic=204, Other=51, Mechanical Problem=8),PM : 12:00-19:00,(Heavy Traffic=41, Other=15, Late return from Field Trip=12)
16/11/15, AM : 5:00-11:59,(Heavy Traffic=176, Other=60, Mechanical Problem=17),PM : 12:00-19:00,(Other=18, Heavy Traffic=14, Delayed by School=3)
17/11/15, AM : 5:00-11:59,(Heavy Traffic=221, Other=63, Mechanical Problem=7),PM : 12:00-19:00,(Heavy Traffic=12, Other=10, Flat Tire=1)
18/11/15, AM : 5:00-11:59,(Heavy Traffic=133, Other=39, Won`t Start=4),PM : 12:00-19:00,(Heavy Traffic=21, Other=17, Late return from Field Trip=6)
19/11/15, AM : 5:00-11:59,(Heavy Traffic=132, Other=42, Mechanical Problem=13),PM : 12:00-19:00,(Heavy Traffic=22, Other=22, Late return from Field Trip=8)
20/11/15, AM : 5:00-11:59,(Heavy Traffic=121, Other=41, Won`t Start=4),PM : 12:00-19:00,(Heavy Traffic=19, Other=14, Flat Tire=1)
23/11/15, AM : 5:00-11:59,(Heavy Traffic=179, Other=52, Mechanical Problem=25),PM : 12:00-19:00,(Heavy Traffic=27, Other=12, Late return from Field Trip=6)
24/11/15, AM : 5:00-11:59,(Heavy Traffic=266, Other=34, Mechanical Problem=13),PM : 12:00-19:00,(Heavy Traffic=29, Other=16, Late return from Field Trip=12)
25/11/15, AM : 5:00-11:59,(Heavy Traffic=141, Other=23, Mechanical Problem=5),PM : 12:00-19:00,(Heavy Traffic=24, Late return from Field Trip=6, Other=6)
27/11/15, AM : 5:00-11:59,(Heavy Traffic=1)
30/11/15, AM : 5:00-11:59,(Heavy Traffic=226, Other=61, Mechanical Problem=13),PM : 12:00-19:00,(Heavy Traffic=25, Other=21, Delayed by School=4)
01/12/15, AM : 5:00-11:59,(Heavy Traffic=238, Weather Conditions=53, Other=32),PM : 12:00-19:00,(Heavy Traffic=20, Late return from Field Trip=12, Mechanical Problem=5)
02/12/15, AM : 5:00-11:59,(Heavy Traffic=210, Other=52, Weather Conditions=27),PM : 12:00-19:00,(Heavy Traffic=37, Other=17, Late return from Field Trip=10)
03/12/15, AM : 5:00-11:59,(Heavy Traffic=151, Other=29, Mechanical Problem=12),PM : 12:00-19:00,(Heavy Traffic=15, Late return from Field Trip=7, Other=5)
04/12/15, AM : 5:00-11:59,(Heavy Traffic=158, Other=40, Mechanical Problem=5),PM : 12:00-19:00,(Heavy Traffic=20, Other=4, Accident=2)
07/12/15, AM : 5:00-11:59,(Heavy Traffic=178, Other=57, Mechanical Problem=8),PM : 12:00-19:00,(Heavy Traffic=19, Other=10, Mechanical Problem=6)
08/12/15, AM : 5:00-11:59,(Heavy Traffic=195, Other=44, Mechanical Problem=6),PM : 12:00-19:00,(Heavy Traffic=46, Other=8, Late return from Field Trip=5)
09/12/15, AM : 5:00-11:59,(Heavy Traffic=157, Other=43, Mechanical Problem=12),PM : 12:00-19:00,(Heavy Traffic=20, Late return from Field Trip=13, Other=12)
10/12/15, AM : 5:00-11:59,(Heavy Traffic=162, Other=28, Delayed by School=5),PM : 12:00-19:00,(Heavy Traffic=43, Late return from Field Trip=13, Accident=6)
11/12/15, AM : 5:00-11:59,(Heavy Traffic=170, Other=36, Delayed by School=7),PM : 12:00-19:00,(Heavy Traffic=28, Other=10, Late return from Field Trip=7)
