25/02/16,RELIANT TRANS INC. B232, 38.2 ,G.V.C. LTD., 32.2 ,NEW DAWN TRANSIT, LLC B2, 30.0 ,LEESEL TRANSP CORP B2192, 27.1 ,BORO TRANSIT INC., 23.6)
03/03/16,RELIANT TRANS INC. B232, 38.7 ,NEW DAWN TRANSIT, LLC B2, 35.6 ,PIONEER TRANSPORTATION CO, 26.4 ,LEESEL TRANSP CORP B2192, 24.9 ,BORO TRANSIT INC., 22.3)
10/03/16,PIONEER TRANSPORTATION CO, 47.0 ,RELIANT TRANS INC. B232, 43.4 ,LEESEL TRANSP CORP B2192, 40.9 ,NEW DAWN TRANSIT, LLC B2, 29.8 ,G.V.C. LTD., 29.4)
17/03/16,RELIANT TRANS INC. B232, 39.6 ,NEW DAWN TRANSIT, LLC B2, 38.9 ,PIONEER TRANSPORTATION CO, 28.7 ,G.V.C. LTD., 28.3 ,BORO TRANSIT INC., 21.9)
24/03/16,NEW DAWN TRANSIT, LLC B2, 36.0 ,RELIANT TRANS INC. B232, 35.6 ,G.V.C. LTD., 28.7 ,PIONEER TRANSPORTATION CO, 18.3 ,HAPPY CHILD TRANS LLC B2, 17.1)
31/03/16,NEW DAWN TRANSIT, LLC B2, 52.7 ,G.V.C. LTD., 37.3 ,RELIANT TRANS INC. B232, 36.7 ,LEESEL TRANSP CORP B2192, 32.7 ,PIONEER TRANSPORTATION CO, 31.9)
07/04/16,LEESEL TRANSP CORP B2192, 50.9 ,RELIANT TRANS INC. B232, 40.4 ,NEW DAWN TRANSIT, LLC B2, 33.9 ,PIONEER TRANSPORTATION CO, 31.8 ,G.V.C. LTD., 29.3)
14/04/16,LEESEL TRANSP CORP B2192, 42.5 ,RELIANT TRANS INC. B232, 39.8 ,NEW DAWN TRANSIT, LLC B2, 36.5 ,PIONEER TRANSPORTATION CO, 31.2 ,HAPPY CHILD TRANS LLC B2, 25.2)
21/04/16,LEESEL TRANSP CORP B2192, 20.7 ,NEW DAWN TRANSIT, LLC B2, 19.9 ,RELIANT TRANS INC. B232, 15.2 ,PIONEER TRANSPORTATION CO, 14.7 ,BORO TRANSIT INC., 7.9)
28/04/16,LEESEL TRANSP CORP B2192, 32.8 ,PIONEER TRANSPORTATION CO, 32.2 ,NEW DAWN TRANSIT, LLC B2, 28.9 ,RELIANT TRANS INC. B232, 27.4 ,BORO TRANSIT INC., 22.1)
05/05/16,LEESEL TRANSP CORP B2192, 46.8 ,RELIANT TRANS INC. B232, 44.2 ,NEW DAWN TRANSIT, LLC B2, 37.8 ,PIONEER TRANSPORTATION CO, 33.7 ,G.V.C. LTD., 22.7)
12/05/16,LEESEL TRANSP CORP B2192, 49.4 ,NEW DAWN TRANSIT, LLC B2, 43.5 ,PIONEER TRANSPORTATION CO, 40.0 ,RELIANT TRANS INC. B232, 31.8 ,G.V.C. LTD., 26.0)
19/05/16,NEW DAWN TRANSIT, LLC B2, 53.3 ,LEESEL TRANSP CORP B2192, 45.7 ,PIONEER TRANSPORTATION CO, 45.5 ,RELIANT TRANS INC. B232, 39.6 ,G.V.C. LTD., 31.7)
26/05/16,RELIANT TRANS INC. B232, 47.4 ,LEESEL TRANSP CORP B2192, 35.0 ,NEW DAWN TRANSIT, LLC B2, 33.7 ,PIONEER TRANSPORTATION CO, 29.9 ,G.V.C. LTD., 23.8)
02/06/16,LEESEL TRANSP CORP B2192, 43.1 ,NEW DAWN TRANSIT, LLC B2, 41.8 ,RELIANT TRANS INC. B232, 38.3 ,G.V.C. LTD., 36.4 ,PIONEER TRANSPORTATION CO, 32.6)
09/06/16,NEW DAWN TRANSIT, LLC B2, 29.8 ,LEESEL TRANSP CORP B2192, 24.6 ,G.V.C. LTD., 22.9 ,RELIANT TRANS INC. B232, 15.9 ,PIONEER TRANSPORTATION CO, 13.8)
16/06/16,NEW DAWN TRANSIT, LLC B2, 35.5 ,G.V.C. LTD., 30.3 ,RELIANT TRANS INC. B232, 25.3 ,PIONEER TRANSPORTATION CO, 16.5 ,LEESEL TRANSP CORP B2192, 15.1)
23/06/16,NEW DAWN TRANSIT, LLC B2, 24.0 ,RELIANT TRANS INC. B232, 12.0 ,DON THOMAS BUSES INC. B, 10.5 ,PIONEER TRANSPORTATION CO, 9.0 ,G.V.C. LTD., 7.8)
30/06/16,G.V.C. LTD., 14.4 ,HOYT TRANSPORTATION CORP., 7.3 ,L & M BUS CORP., 5.7 ,PRIDE TRANSPORTATION SCH, 5.2 ,RELIANT TRANS INC., 4.0)
07/07/16,PRIDE TRANSPORTATION SCH, 43.8 ,HOYT TRANSPORTATION CORP., 42.4 ,G.V.C. LTD., 28.4 ,ALL AMERICAN SCHOOL BUS C, 16.5 ,LOGAN BUS COMPANY INC., 15.6)
14/07/16,PRIDE TRANSPORTATION SCH, 61.2 ,HOYT TRANSPORTATION CORP., 42.3 ,G.V.C. LTD., 26.4 ,LOGAN BUS COMPANY INC., 19.4 ,LORINDA ENT. LTD., 11.5)
21/07/16,PRIDE TRANSPORTATION SCH, 57.2 ,HOYT TRANSPORTATION CORP., 39.3 ,LOGAN BUS COMPANY INC., 22.0 ,G.V.C. LTD., 17.6 ,BORO TRANSIT INC., 13.4)
28/07/16,PRIDE TRANSPORTATION SCH, 42.4 ,HOYT TRANSPORTATION CORP., 34.5 ,G.V.C. LTD., 15.0 ,LOGAN BUS COMPANY INC., 13.5 ,L & M BUS CORP., 11.3)
04/08/16,PRIDE TRANSPORTATION SCH, 30.6 ,HOYT TRANSPORTATION CORP., 30.5 ,G.V.C. LTD., 13.7 ,LOGAN BUS COMPANY INC., 11.8 ,ALL AMERICAN SCHOOL BUS C, 9.7)
11/08/16,PRIDE TRANSPORTATION SCH, 15.6 ,HOYT TRANSPORTATION CORP., 14.6 ,LORINDA ENT. LTD., 9.0 ,L & M BUS CORP., 5.7 ,G.V.C. LTD., 5.4)
18/08/16,HOYT TRANSPORTATION CORP., 1.2 ,ALL AMERICAN SCHOOL BUS C, 0.8 ,JOFAZ TRANSPORTATION INC., 0.6 ,LITTLE RICHIE BUS SERVICE, 0.6 ,ADDIES, 0.6)
25/08/16,HOYT TRANSPORTATION CORP., 1.5 ,LORINDA ENT. LTD., 0.3 ,RELIANT TRANS INC., 0.3)
01/09/16,RELIANT TRANS INC. B232, 19.7 ,MAR-CAN TRANSPORT CO. INC, 9.6 ,G.V.C. LTD., 5.3 ,LEESEL TRANSP CORP B2192, 5.0 ,THOMAS BUSES INC B2192), 4.7)
08/09/16,RELIANT TRANS INC. B232, 87.1 ,PIONEER TRANSPORTATION CO, 78.3 ,NEW DAWN TRANSIT, LLC B2, 56.9 ,G.V.C. LTD., 51.9 ,FIRST STEPS TRANSP INC. , 35.9)
15/09/16,PIONEER TRANSPORTATION CO, 82.2 ,G.V.C. LTD., 70.1 ,RELIANT TRANS INC. B232, 62.7 ,NEW DAWN TRANSIT, LLC B2, 58.9 ,LEESEL TRANSP CORP B2192, 43.1)
22/09/16,PIONEER TRANSPORTATION CO, 82.0 ,NEW DAWN TRANSIT, LLC B2, 79.7 ,RELIANT TRANS INC. B232, 78.5 ,G.V.C. LTD., 74.3 ,LEESEL TRANSP CORP B2192, 44.0)
29/09/16,NEW DAWN TRANSIT, LLC B2, 53.8 ,G.V.C. LTD., 35.8 ,RELIANT TRANS INC. B232, 35.8 ,PIONEER TRANSPORTATION CO, 27.7 ,LEESEL TRANSP CORP B2192, 24.8)
06/10/16,NEW DAWN TRANSIT, LLC B2, 63.0 ,G.V.C. LTD., 41.5 ,PIONEER TRANSPORTATION CO, 31.8 ,RELIANT TRANS INC. B232, 23.5 ,LEESEL TRANSP CORP B2192, 22.7)
13/10/16,G.V.C. LTD., 62.9 ,NEW DAWN TRANSIT, LLC B2, 55.3 ,PIONEER TRANSPORTATION CO, 47.3 ,RELIANT TRANS INC. B232, 35.8 ,HAPPY CHILD TRANS LLC B2, 28.2)
20/10/16,PIONEER TRANSPORTATION CO, 68.5 ,NEW DAWN TRANSIT, LLC B2, 67.1 ,G.V.C. LTD., 43.3 ,RELIANT TRANS INC. B232, 32.9 ,VAN TRANS LLC B2192), 28.9)
27/10/16,PIONEER TRANSPORTATION CO, 66.6 ,NEW DAWN TRANSIT, LLC B2, 54.6 ,RELIANT TRANS INC. B232, 51.2 ,G.V.C. LTD., 41.3 ,HAPPY CHILD TRANS LLC B2, 31.7)
03/11/16,NEW DAWN TRANSIT, LLC B2, 44.0 ,PIONEER TRANSPORTATION CO, 35.8 ,RELIANT TRANS INC. B232, 34.7 ,G.V.C. LTD., 32.4 ,BORO TRANSIT INC., 21.4)
10/11/16,NEW DAWN TRANSIT, LLC B2, 53.5 ,PIONEER TRANSPORTATION CO, 42.1 ,RELIANT TRANS INC. B232, 34.7 ,LEESEL TRANSP CORP B2192, 29.6 ,G.V.C. LTD., 26.6)
17/11/16,NEW DAWN TRANSIT, LLC B2, 66.8 ,PIONEER TRANSPORTATION CO, 45.0 ,RELIANT TRANS INC. B232, 40.4 ,G.V.C. LTD., 35.0 ,LEESEL TRANSP CORP B2192, 26.9)
24/11/16,NEW DAWN TRANSIT, LLC B2, 61.1 ,RELIANT TRANS INC. B232, 25.7 ,PIONEER TRANSPORTATION CO, 25.3 ,G.V.C. LTD., 24.3 ,LEESEL TRANSP CORP B2192, 23.9)
01/12/16,NEW DAWN TRANSIT, LLC B2, 87.5 ,RELIANT TRANS INC. B232, 47.1 ,G.V.C. LTD., 45.7 ,PIONEER TRANSPORTATION CO, 42.2 ,MAR-CAN TRANSPORT CO. INC, 39.4)
08/12/16,NEW DAWN TRANSIT, LLC B2, 111.5 ,PIONEER TRANSPORTATION CO, 49.0 ,G.V.C. LTD., 34.8 ,RELIANT TRANS INC. B232, 33.4 ,LEESEL TRANSP CORP B2192, 23.8)
15/12/16,NEW DAWN TRANSIT, LLC B2, 116.1 ,PIONEER TRANSPORTATION CO, 50.4 ,G.V.C. LTD., 42.1 ,RELIANT TRANS INC. B232, 39.6 ,FIRST STEPS TRANSP INC. , 27.1)
22/12/16,NEW DAWN TRANSIT, LLC B2, 32.2 ,PIONEER TRANSPORTATION CO, 12.6 ,HAPPY CHILD TRANS LLC B2, 9.9 ,G.V.C. LTD., 9.9 ,RELIANT TRANS INC. B232, 8.7)
29/12/16,NEW DAWN TRANSIT, LLC B2, 63.1 ,G.V.C. LTD., 20.7 ,RELIANT TRANS INC. B232, 16.3 ,BORO TRANSIT INC., 15.0 ,PIONEER TRANSPORTATION CO, 14.9)
05/01/17,NEW DAWN TRANSIT, LLC B2, 172.7 ,RELIANT TRANS INC. B232, 55.4 ,PIONEER TRANSPORTATION CO, 55.1 ,G.V.C. LTD., 49.8 ,G.V.C. LTD. B2192), 25.5)
12/01/17,NEW DAWN TRANSIT, LLC B2, 136.5 ,G.V.C. LTD., 60.4 ,RELIANT TRANS INC. B232, 35.9 ,LEESEL TRANSP CORP B2192, 32.7 ,PIONEER TRANSPORTATION CO, 29.0)
19/01/17,NEW DAWN TRANSIT, LLC B2, 118.9 ,G.V.C. LTD., 68.6 ,PIONEER TRANSPORTATION CO, 39.9 ,BORO TRANSIT INC., 36.0 ,RELIANT TRANS INC. B232, 30.4)
26/01/17,G.V.C. LTD., 63.4 ,NEW DAWN TRANSIT, LLC B2, 56.3 ,PIONEER TRANSPORTATION CO, 44.2 ,RELIANT TRANS INC. B232, 39.4 ,LEESEL TRANSP CORP B2192, 20.8)
02/02/17,G.V.C. LTD., 78.7 ,PIONEER TRANSPORTATION CO, 42.7 ,RELIANT TRANS INC. B232, 36.0 ,NEW DAWN TRANSIT, LLC B2, 35.6 ,LEESEL TRANSP CORP B2192, 28.0)
09/02/17,G.V.C. LTD., 63.9 ,PIONEER TRANSPORTATION CO, 63.1 ,RELIANT TRANS INC. B232, 53.2 ,NEW DAWN TRANSIT, LLC B2, 33.7 ,BORO TRANSIT INC., 33.5)
16/02/17,G.V.C. LTD., 26.0 ,NEW DAWN TRANSIT, LLC B2, 18.2 ,RELIANT TRANS INC. B232, 14.8 ,BORO TRANSIT INC., 13.6 ,PIONEER TRANSPORTATION CO, 12.0)
23/02/17,G.V.C. LTD., 38.5 ,RELIANT TRANS INC. B232, 35.4 ,NEW DAWN TRANSIT, LLC B2, 34.4 ,PIONEER TRANSPORTATION CO, 23.3 ,BORO TRANSIT INC., 20.7)
02/03/17,G.V.C. LTD., 44.1 ,RELIANT TRANS INC. B232, 37.9 ,PIONEER TRANSPORTATION CO, 37.6 ,NEW DAWN TRANSIT, LLC B2, 31.9 ,LEESEL TRANSP CORP B2192, 29.9)
09/03/17,PIONEER TRANSPORTATION CO, 65.8 ,NEW DAWN TRANSIT, LLC B2, 41.0 ,G.V.C. LTD., 32.7 ,LEESEL TRANSP CORP B2192, 25.2 ,BORO TRANSIT INC., 22.9)
16/03/17,PIONEER TRANSPORTATION CO, 77.3 ,G.V.C. LTD., 70.1 ,LEESEL TRANSP CORP B2192, 61.9 ,NEW DAWN TRANSIT, LLC B2, 60.4 ,BORO TRANSIT INC., 29.5)
23/03/17,G.V.C. LTD., 62.9 ,LEESEL TRANSP CORP B2192, 62.8 ,PIONEER TRANSPORTATION CO, 62.3 ,NEW DAWN TRANSIT, LLC B2, 41.9 ,RELIANT TRANS INC. B232, 35.2)
30/03/17,LEESEL TRANSP CORP B2192, 111.2 ,RELIANT TRANS INC. B232, 75.2 ,PIONEER TRANSPORTATION CO, 62.9 ,G.V.C. LTD., 53.9 ,NEW DAWN TRANSIT, LLC B2, 43.4)
06/04/17,LEESEL TRANSP CORP B2192, 38.7 ,RELIANT TRANS INC. B232, 16.0 ,FIRST STEPS TRANSP INC. , 15.6 ,PIONEER TRANSPORTATION CO, 15.1 ,G.V.C. LTD., 12.4)
13/04/17,LEESEL TRANSP CORP B2192, 18.9 ,NEW DAWN TRANSIT, LLC B2, 13.9 ,RELIANT TRANS INC. B232, 13.7 ,PIONEER TRANSPORTATION CO, 11.9 ,G.V.C. LTD., 10.6)
20/04/17,LEESEL TRANSP CORP B2192, 109.0 ,NEW DAWN TRANSIT, LLC B2, 55.7 ,RELIANT TRANS INC. B232, 48.1 ,G.V.C. LTD., 46.2 ,PIONEER TRANSPORTATION CO, 44.4)
27/04/17,LEESEL TRANSP CORP B2192, 102.0 ,NEW DAWN TRANSIT, LLC B2, 68.2 ,PIONEER TRANSPORTATION CO, 53.8 ,RELIANT TRANS INC. B232, 51.7 ,G.V.C. LTD., 46.1)
04/05/17,LEESEL TRANSP CORP B2192, 107.8 ,NEW DAWN TRANSIT, LLC B2, 99.6 ,PIONEER TRANSPORTATION CO, 55.1 ,G.V.C. LTD., 48.4 ,RELIANT TRANS INC. B232, 46.0)
11/05/17,LEESEL TRANSP CORP B2192, 126.1 ,NEW DAWN TRANSIT, LLC B2, 88.5 ,PIONEER TRANSPORTATION CO, 69.6 ,G.V.C. LTD., 68.9 ,RELIANT TRANS INC. B232, 64.5)
18/05/17,LEESEL TRANSP CORP B2192, 140.7 ,NEW DAWN TRANSIT, LLC B2, 90.0 ,PIONEER TRANSPORTATION CO, 80.6 ,RELIANT TRANS INC. B232, 71.2 ,G.V.C. LTD., 53.8)
