01/09/15,Brooklyn,31.254901960784313, Manhattan,24.880149812734082, Westchester,24.511811023622048, New Jersey,29.782608695652176, Staten Island,19.125714285714285, Nassau County,32.52857142857143, All Boroughs,31.923076923076923, Bronx,19.066333808844508, Queens,29.526586620926242, Rockland County,29.78125
01/10/15,Brooklyn,29.50497512437811, Westchester,22.52417302798982, Rockland County,24.214285714285715, All Boroughs,32.03125, Nassau County,30.61, Queens,31.572216097023155, New Jersey,34.285714285714285, Connecticut,30.0, Bronx,18.606535362578335, Staten Island,16.420612813370475, Manhattan,25.177005789909014
01/11/15,Staten Island,18.30392156862745, Westchester,17.720670391061454, New Jersey,23.863636363636363, All Boroughs,29.75, Rockland County,22.1, Bronx,19.83062645011601, Nassau County,30.445945945945947, Connecticut,37.5, Queens,29.836666666666666, Manhattan,25.310725552050474, Brooklyn,28.559364548494983
01/12/15,Nassau County,28.770491803278688, Manhattan,24.454638124362894, Staten Island,18.469072164948454, All Boroughs,31.0, Rockland County,20.416666666666668, Brooklyn,28.574468085106382, New Jersey,27.608695652173914, Connecticut,20.0, Bronx,20.258016405667412, Westchester,25.51851851851852, Queens,27.872340425531913
01/01/16,Nassau County,38.69879518072289, Brooklyn,33.613849033063005, Westchester,20.65142857142857, All Boroughs,28.94736842105263, New Jersey,19.516129032258064, Manhattan,27.776217228464418, Rockland County,31.652173913043477, Connecticut,23.0, Staten Island,25.79767441860465, Bronx,25.235849056603772, Queens,33.48638838475499
01/02/16,Westchester,20.29585798816568, Bronx,20.900961538461537, All Boroughs,26.53846153846154, Rockland County,26.818181818181817, Nassau County,27.09259259259259, Manhattan,24.602027883396705, New Jersey,27.916666666666668, Connecticut,22.5, Staten Island,17.108, Brooklyn,29.298438934802572, Queens,30.493808049535605
01/03/16,Bronx,20.120664739884393, Westchester,18.746031746031747, New Jersey,23.75, Rockland County,23.08695652173913, Nassau County,29.17391304347826, Manhattan,24.57064622124863, All Boroughs,28.571428571428573, Connecticut,15.0, Staten Island,16.67142857142857, Queens,28.96754250386399, Brooklyn,30.30942334739803
01/04/16,Westchester,18.655339805825243, Brooklyn,29.464864864864865, Nassau County,25.64814814814815, All Boroughs,27.916666666666668, Rockland County,23.2, Queens,28.886925795053003, New Jersey,19.761904761904763, Connecticut,30.0, Manhattan,23.989436619718308, Bronx,18.231755424063117, Staten Island,18.057971014492754
01/05/16,Staten Island,19.11111111111111, New Jersey,22.058823529411764, Nassau County,30.873563218390803, Rockland County,22.783783783783782, Westchester,21.17748917748918, Queens,27.394736842105264, All Boroughs,32.8, Connecticut,10.0, Brooklyn,31.954608938547487, Manhattan,24.956521739130434, Bronx,19.705729166666668
01/06/16,Staten Island,17.063157894736843, Brooklyn,30.712669683257918, Connecticut,15.0, Bronx,20.272138228941685, Nassau County,27.325, Westchester,19.16504854368932, Manhattan,25.28872180451128, Queens,27.83271375464684, New Jersey,18.928571428571427, All Boroughs,33.333333333333336, Rockland County,21.333333333333332
01/07/16,Brooklyn,30.032608695652176, Manhattan,25.26178010471204, Bronx,22.39855072463768, All Boroughs,32.75, Nassau County,32.233333333333334, Rockland County,27.714285714285715, New Jersey,45.0, Westchester,25.105263157894736, Staten Island,32.03361344537815, Queens,28.996969696969696
01/08/16,Nassau County,26.11764705882353, Manhattan,24.849056603773583, Staten Island,27.3125, Rockland County,21.666666666666668, Bronx,22.489082969432314, Queens,29.98870056497175, Westchester,23.125, Brooklyn,30.877777777777776
